airport,iana_timezone,source
AUA,America/Aruba,OpenFlights airports.dat
AUC,America/Bogota,OpenFlights airports.dat
AUF,Europe/Paris,OpenFlights airports.dat
AUG,America/New_York,OpenFlights airports.dat
AUH,Asia/Dubai,OpenFlights airports.dat
AUK,America/Anchorage,OpenFlights airports.dat
AUO,America/Chicago,OpenFlights airports.dat
AUQ,Pacific/Marquesas,OpenFlights airports.dat
AUR,Europe/Paris,OpenFlights airports.dat
AUS,America/Chicago,OpenFlights airports.dat
AUU,Australia/Brisbane,OpenFlights airports.dat
AUW,America/Chicago,OpenFlights airports.dat
AUX,America/Fortaleza,OpenFlights airports.dat
AUY,Pacific/Efate,OpenFlights airports.dat
AVA,Asia/Shanghai,OpenFlights airports.dat
AVB,Europe/Rome,OpenFlights airports.dat
AVI,America/Havana,OpenFlights airports.dat
AVK,Asia/Ulaanbaatar,OpenFlights airports.dat
AVL,America/New_York,OpenFlights airports.dat
AVN,Europe/Paris,OpenFlights airports.dat
AVO,America/New_York,OpenFlights airports.dat
AVP,America/New_York,OpenFlights airports.dat
AVR,Europe/Lisbon,OpenFlights airports.dat
AVV,Australia/Hobart,OpenFlights airports.dat
AVW,America/Phoenix,OpenFlights airports.dat
AVX,America/Los_Angeles,OpenFlights airports.dat
AWA,Africa/Addis_Ababa,OpenFlights airports.dat
AWD,Pacific/Efate,OpenFlights airports.dat
AWK,Pacific/Johnston,OpenFlights airports.dat
AWZ,Asia/Tehran,OpenFlights airports.dat
AXA,America/Anguilla,OpenFlights airports.dat
AXD,Europe/Athens,OpenFlights airports.dat
AXJ,Asia/Tokyo,OpenFlights airports.dat
AXK,Asia/Aden,OpenFlights airports.dat
AXM,America/Bogota,OpenFlights airports.dat
AXP,America/Nassau,OpenFlights airports.dat
AXR,Pacific/Tahiti,OpenFlights airports.dat
AXT,Asia/Tokyo,OpenFlights airports.dat
AXU,Africa/Addis_Ababa,OpenFlights airports.dat
AYK,Asia/Qyzylorda,OpenFlights airports.dat
AYO,America/Asuncion,OpenFlights airports.dat
AYP,America/Lima,OpenFlights airports.dat
AYQ,Australia/Darwin,OpenFlights airports.dat
AYT,Europe/Istanbul,OpenFlights airports.dat
AZA,America/Phoenix,OpenFlights airports.dat
AZD,Asia/Tehran,OpenFlights airports.dat
AZI,Asia/Dubai,OpenFlights airports.dat
AZN,Asia/Samarkand,OpenFlights airports.dat
AZO,America/New_York,OpenFlights airports.dat
AZR,Africa/Algiers,OpenFlights airports.dat
AZS,America/Santo_Domingo,OpenFlights airports.dat
BAB,America/Los_Angeles,OpenFlights airports.dat
BAD,America/Chicago,OpenFlights airports.dat
BAF,America/New_York,OpenFlights airports.dat
BAG,Asia/Manila,OpenFlights airports.dat
BAH,Asia/Bahrain,OpenFlights airports.dat
BAI,America/Costa_Rica,OpenFlights airports.dat
BAL,Europe/Istanbul,OpenFlights airports.dat
BAQ,America/Bogota,OpenFlights airports.dat
BAS,Pacific/Guadalcanal,OpenFlights airports.dat
BAU,America/Sao_Paulo,OpenFlights airports.dat
BAV,Asia/Shanghai,OpenFlights airports.dat
BAX,Asia/Krasnoyarsk,OpenFlights airports.dat
BAY,Europe/Bucharest,OpenFlights airports.dat
BAZ,America/Boa_Vista,OpenFlights airports.dat
BBA,America/Santiago,OpenFlights airports.dat
BBG,Pacific/Tarawa,OpenFlights airports.dat
BBH,Europe/Berlin,OpenFlights airports.dat
BBI,Asia/Calcutta,OpenFlights airports.dat
BBJ,Europe/Berlin,OpenFlights airports.dat
BBK,Africa/Gaborone,OpenFlights airports.dat
BBL,Australia/Brisbane,OpenFlights airports.dat
BBM,Asia/Phnom_Penh,OpenFlights airports.dat
BBN,Asia/Kuala_Lumpur,OpenFlights airports.dat
BBO,Africa/Mogadishu,OpenFlights airports.dat
BBP,Europe/London,OpenFlights airports.dat
BBQ,America/Antigua,OpenFlights airports.dat
BBR,America/Guadeloupe,OpenFlights airports.dat
BBS,Europe/London,OpenFlights airports.dat
BBT,Africa/Bangui,OpenFlights airports.dat
BBU,Europe/Bucharest,OpenFlights airports.dat
BBX,America/New_York,OpenFlights airports.dat
BCA,America/Havana,OpenFlights airports.dat
BCD,Asia/Manila,OpenFlights airports.dat
BCE,America/Denver,OpenFlights airports.dat
BCH,Asia/Dili,OpenFlights airports.dat
BCI,Australia/Brisbane,OpenFlights airports.dat
BCL,America/Costa_Rica,OpenFlights airports.dat
BCM,Europe/Bucharest,OpenFlights airports.dat
BCN,Europe/Madrid,OpenFlights airports.dat
BCO,Africa/Addis_Ababa,OpenFlights airports.dat
BCT,America/New_York,OpenFlights airports.dat
BDA,Atlantic/Bermuda,OpenFlights airports.dat
BDB,Australia/Brisbane,OpenFlights airports.dat
BDD,Australia/Brisbane,OpenFlights airports.dat
BDE,America/Chicago,OpenFlights airports.dat
BDH,Asia/Tehran,OpenFlights airports.dat
BDJ,Asia/Makassar,OpenFlights airports.dat
BDL,America/New_York,OpenFlights airports.dat
BDM,Europe/Istanbul,OpenFlights airports.dat
BDN,Asia/Karachi,OpenFlights airports.dat
BDO,Asia/Jakarta,OpenFlights airports.dat
BDP,Asia/Katmandu,OpenFlights airports.dat
BDQ,Asia/Calcutta,OpenFlights airports.dat
BDR,America/New_York,OpenFlights airports.dat
BDS,Europe/Rome,OpenFlights airports.dat
BDT,Africa/Kinshasa,OpenFlights airports.dat
BDU,Europe/Oslo,OpenFlights airports.dat
BEB,Europe/London,OpenFlights airports.dat
BEC,America/Chicago,OpenFlights airports.dat
BED,America/New_York,OpenFlights airports.dat
BEF,America/Managua,OpenFlights airports.dat
BEG,Europe/Belgrade,OpenFlights airports.dat
BEI,Africa/Addis_Ababa,OpenFlights airports.dat
BEJ,Asia/Makassar,OpenFlights airports.dat
BEK,Asia/Calcutta,OpenFlights airports.dat
BEL,America/Belem,OpenFlights airports.dat
BEM,Africa/Casablanca,OpenFlights airports.dat
BEN,Africa/Tripoli,OpenFlights airports.dat
BEO,Australia/Sydney,OpenFlights airports.dat
BEP,Asia/Calcutta,OpenFlights airports.dat
BEQ,Europe/London,OpenFlights airports.dat
BES,Europe/Paris,OpenFlights airports.dat
BET,America/Anchorage,OpenFlights airports.dat
BEU,Australia/Brisbane,OpenFlights airports.dat
BEV,Asia/Jerusalem,OpenFlights airports.dat
BEW,Africa/Maputo,OpenFlights airports.dat
BEX,Europe/London,OpenFlights airports.dat
BEY,Asia/Beirut,OpenFlights airports.dat
BEZ,Pacific/Tarawa,OpenFlights airports.dat
